Period of incorporation,Number of incorporations,On_reg_21,Total register_1,Total register_2,On_reg_22,In liquidation/course of dissolution,Effective register
1870-79,9900,2021-04-01,155,152,2022-03-31,10,142
1880-89,18000,2021-04-01,353,341,2022-03-31,31,310
1890-99,36600,2021-04-01,992,972,2022-03-31,131,841
1900-09,45000,2021-04-01,1425,1386,2022-03-31,184,1202
1910-19,58900,2021-04-01,1832,1782,2022-03-31,223,1559
1920-29,87300,2021-04-01,3598,3479,2022-03-31,397,3082
1930-39,119100,2021-04-01,5234,5063,2022-03-31,614,4450
1940-49,124100,2021-04-01,6877,6672,2022-03-31,746,5926
1950-59,176200,2021-04-01,12887,12502,2022-03-31,1161,11341
1960-69,335000,2021-04-01,24637,23988,2022-03-31,2245,21743
1970-79,521000,2021-04-01,43792,42538,2022-03-31,4849,37690
1980-89,1032200,2021-04-01,101900,98877,2022-03-31,11612,87269
1990-99,1519700,2021-04-01,211505,203242,2022-03-31,12295,190943
2000-09,3379728,2021-04-01,720800,683042,2022-03-31,39561,643466
2010-19,5602571,2021-04-01,2616510,2312957,2022-03-31,216400,2096586
2020,768770,2021-04-01,752218,551186,2022-03-31,65250,485956
2021,759365,2021-04-01,211346,740935,2022-03-31,38144,702770
all-companies,14803605,2021-04-01,4716126,4894356,2022-03-31,395014,4499342
