Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
1870-79,1870-79,1870-79,,0,
1880-89,1880-89,1880-89,,1,
1890-99,1890-99,1890-99,,2,
1900-09,1900-09,1900-09,,3,
1910-19,1910-19,1910-19,,4,
1920-29,1920-29,1920-29,,5,
1930-39,1930-39,1930-39,,6,
1940-49,1940-49,1940-49,,7,
1950-59,1950-59,1950-59,,8,
1960-69,1960-69,1960-69,,9,
1970-79,1970-79,1970-79,,10,
1980-89,1980-89,1980-89,,11,
1990-99,1990-99,1990-99,,12,
2000-09,2000-09,2000-09,,13,
2010-19,2010-19,2010-19,,14,
2020,2020,2020,,15,
2021,2021,2021,,16,
all-companies,All companies,all-companies,,17,
